League,Season,Season_Index,League_Position,Team,Team_clean,Points,W,D,L,GF,GA,Financial_Rank,Market_Value_M_EUR,Normalized_Value,Log_Normalized_Value,Champion
Bundesliga,2023-2024,9,10,SC Freiburg,freiburg,42,11,9,14,45,58,8,180.35,0.18686214578044863,-1.6773841223243362,No
Bundesliga,2023-2024,9,11,FC Augsburg,augsburg,39,10,9,15,50,60,13,140.8,0.14588405947262084,-1.924943085949942,No
Bundesliga,2023-2024,9,12,VfL Wolfsburg,vfl wolfsburg,37,10,7,17,41,56,7,206.45,0.21390457441848415,-1.542225277341785,No
Bundesliga,2023-2024,9,13,Mainz,1fsv mainz 05,35,7,14,13,39,51,12,142.88,0.1480391648966482,-1.9102784125456953,No
Bundesliga,2023-2024,9,14,Borussia Mönchengladbach,borussia monchengladbach,34,7,13,14,56,67,10,165.23,0.17119618712117288,-1.7649450870109848,No
Bundesliga,2023-2024,9,15,1. FC Union Berlin,1fc union berlin,33,9,6,19,33,58,11,160.95,0.1667616432678858,-1.791189771929067,No
Bundesliga,2023-2024,9,16,VfL Bochum,vfl bochum,33,7,12,15,42,74,17,64.53,0.06686007356369476,-2.705153297726136,No
Bundesliga,2023-2024,9,17,FC Cologne,1fc koln,27,5,12,17,28,60,15,81.45,0.08439102730145574,-2.47229419462583,No
Bundesliga,2023-2024,9,18,SV Darmstadt 98,darmstadt 98,17,3,8,23,30,86,18,38.7,0.04009739418743201,-3.216443929638148,No
Bundesliga,2024-2025,10,1,Bayern Munich,bayern munich,82,25,7,2,99,32,1,953.55,1,0,Yes
Bundesliga,2024-2025,10,2,Bayer Leverkusen,bayer 04 leverkusen,69,19,12,3,72,43,2,623.35,0.6537150647580096,-0.4250837032595435,No
Bundesliga,2024-2025,10,3,Eintracht Frankfurt,eintracht frankfurt,60,17,9,8,68,46,5,431.25,0.4522573540978449,-0.7935038937049579,No
Bundesliga,2024-2025,10,4,Borussia Dortmund,borussia dortmund,57,17,6,11,71,51,4,508.28,0.5330396937758901,-0.6291593852141938,No
Bundesliga,2024-2025,10,5,SC Freiburg,freiburg,55,16,7,11,49,53,10,186.2,0.1952703056997535,-1.633370497207561,No
Bundesliga,2024-2025,10,6,Mainz,1fsv mainz 05,52,14,10,10,55,43,11,175.13,0.1836610560536941,-1.6946633067659544,No
Bundesliga,2024-2025,10,7,RB Leipzig,rb leipzig,51,13,12,9,53,48,3,513.7,0.5387237166378271,-0.6185524245773052,No
Bundesliga,2024-2025,10,8,Werder Bremen,werder bremen,51,14,9,11,54,57,14,132,0.13843007708038382,-1.9773899394641568,No
Bundesliga,2024-2025,10,9,VfB Stuttgart,stuttgart,50,14,8,12,64,53,6,365.23,0.3830213413035499,-0.9596645699346812,No
Bundesliga,2024-2025,10,10,Borussia Mönchengladbach,borussia monchengladbach,45,13,6,15,55,57,8,187.5,0.1966336322164543,-1.626413016640062,No
Bundesliga,2024-2025,10,11,VfL Wolfsburg,vfl wolfsburg,43,11,10,13,56,54,7,296.3,0.31073357453725553,-1.168819407471008,No
Bundesliga,2024-2025,10,12,FC Augsburg,augsburg,43,11,10,13,35,51,12,158.88,0.16661947459493473,-1.792042661753665,No
Bundesliga,2024-2025,10,13,1. FC Union Berlin,1fc union berlin,40,10,10,14,35,51,13,136.05,0.14267736353625926,-1.947169396821272,No
Bundesliga,2024-2025,10,14,St. Pauli,st pauli,32,8,8,18,28,41,16,65.78,0.06898432174505795,-2.6738760212896167,No
Bundesliga,2024-2025,10,15,TSG Hoffenheim,tsg 1899 hoffenheim,32,7,11,16,46,68,9,187.1,0.19621414713439253,-1.6285486287704836,No
Bundesliga,2024-2025,10,16,1. FC Heidenheim 1846,1fc heidenheim 1846,29,8,5,21,37,64,15,72.53,0.0760631325048503,-2.5761915926752064,No
Bundesliga,2024-2025,10,17,Holstein Kiel,holstein kiel,25,6,7,21,49,80,18,47.13,0.04942582979392795,-3.007282121114888,No
Bundesliga,2024-2025,10,18,VfL Bochum,vfl bochum,25,6,7,21,33,67,17,57.1,0.05988149546431755,-2.8153877453885627,No
La Liga,2015-2016,1,1,Barcelona,barcelona,91,29,4,5,112,29,1,726,1,0,Yes
La Liga,2015-2016,1,2,Real Madrid,real madrid,90,28,6,4,110,34,2,714.3,0.9838842975206612,-0.01624697266386937,No
La Liga,2015-2016,1,3,Atlético Madrid,atletico de madrid,88,28,4,6,63,18,3,418.5,0.5764462809917356,-0.5508731248952661,No
La Liga,2015-2016,1,4,Villarreal,villarreal,64,18,10,10,44,35,7,140.6,0.19366391184573,-1.6416310354482315,No
La Liga,2015-2016,1,5,Athletic Club,athletic bilbao,62,18,8,12,58,45,6,148,0.20385674931129477,-1.590337741060681,No
La Liga,2015-2016,1,6,Celta Vigo,celta de vigo,60,17,9,12,51,59,9,91.1,0.12548209366391183,-2.0755922105588835,No
La Liga,2015-2016,1,7,Sevilla,sevilla,52,14,10,14,51,50,5,230.3,0.3172176308539945,-1.1481672079981564,No
La Liga,2015-2016,1,8,Málaga,malaga,48,12,12,14,38,35,10,77.95,0.10736914600550965,-2.2314824193210105,No
La Liga,2015-2016,1,9,Real Sociedad,real sociedad,48,13,9,16,45,48,8,119.4,0.16446280991735537,-1.8050708138662943,No
